SiteID,City,N_Residents,N_Residents_0-10,N_Residents_10-25,N_Residents_25-40,N_Residents_40-60,N_Residents_Over60,IrrigationType,MeterBrand,MeterSize,MeterResolution,City_SiteID,N_Bathrooms,Own_Rent,Legal_Acreage_SqFt,YearBuilt,Building_Sq_Ft,ZipCode,UserPercentile_City_LastYear,MonthlyAverageWinter,MonthlyAverageSummer,Irr_Area,Site,EventCount,LabelCardinality,MeanDuration,MedianDuration,MeanVolume,TotalVolume,MeanFlowRate,QCRecordWeeks_Paper,Occupants_Paper,IrrigableArea_m2_Paper,BuildingArea_m2_Paper,IrrigationMode_Paper,PulseResolution_L_per_pulse_Paper,AnnualAverageWaterUse_m3_Paper,RawRows,RawStart,RawEnd,DaysCovered,TotalPulses,MeanPulses,ZeroFraction,NonZeroFraction,MaxPulses,IrregularIntervals,EstimatedMissingSteps,LogPeriods,LogStart,LogEnd,MeanPercentErrorVol,MeanPercentErrorCount
2,Logan,2,0,0,0,2,0,SprinklerSystem,Neptune,1.0,0.033196,8910,3.0,Own,8280,1955,1510,84321,35.3,2.35,16.9,,2,23417,7,0.5853895320944613,0.066666667,3.5791531121834566,83813.028428,0.45337782711201263,21.6,2,643.0,140.0,Sprinkler system,0.1257,397.9,3259313,2019-04-01 14:43:11,2019-10-09 12:55:59,190.92555555555555,2525400.0,0.7748258605417767,0.945618601220564,0.054381398779436034,44.0,88,864714,35,2019-04-01 14:05:00,2019-10-09 12:56:00,0.24838648454237894,-0.12399896091716113
3,Logan,4,0,0,3,1,0,Hose,Neptune,,0.008699,8304,3.0,Own/Rent,12200,1925,1490,84321,20.7,4.82,9.07,,3,388545,7,0.12832404686339033,0.066666667,0.09731580445765613,37811.569243,0.16557046439489634,22.5,2,1408.0,138.0,Hose,0.0329,234.9,3394745,2019-05-08 11:24:29,2019-11-25 14:34:57,201.13226851851852,4347132.0,1.280547434343375,0.7891794523594555,0.21082054764054442,71.0,1826,950617,33,2019-05-08 11:22:00,2019-11-25 14:35:00,0.5356065627811276,-0.023554874305232027
4,Logan,4,1,1,0,2,0,SprinklerSystem,Neptune,,0.008699,12004,1.0,Own,11760,1930,1460,84321,75.8,8.77,26.2,,4,6909,6,0.9522072659214068,0.333333333,2.5815167005355337,17835.698884,0.9582580118467218,9.3,4,1015.0,136.0,Sprinkler system,0.0329,647.7,1406787,2019-05-02 10:44:00,2020-04-07 12:02:57,341.0548263888889,2050563.0,1.457621516263656,0.935179952615428,0.06482004738457207,133.0,73,5960030,21,2019-05-02 10:44:00,2020-04-07 12:03:00,-0.05666221021516621,-0.10627726954897943
5,Logan,2,0,0,0,2,0,SprinklerSystem,Neptune,1.0,0.033196,4712,3.0,Own,24390,1995,1820,84321,98.4,5.06,77.3,,5,29058,6,0.9977906259758758,0.066666667,9.85640853850919,286407.519312,0.6724933094937022,16.4,2,3118.0,169.0,Sprinkler system,0.1257,1786.0,2479786,2019-06-03 14:28:44,2020-04-07 11:44:57,308.88626157407407,8628980.0,3.479727686179372,0.854846748872685,0.14515325112731503,68.0,102,4192208,16,2019-06-03 14:24:00,2020-04-07 11:45:00,0.07641844132028494,-0.281253157022362
6,Logan,3,1,0,0,2,0,Hose,Neptune,,0.008699,2614,2.0,Own,3920,1925,1090,84321,3.29,2.14,3.67,,6,2576,6,1.0315476190850155,0.333333333,2.489886133540373,6413.94668,0.8538900742181678,6.2,3,294.0,101.0,Hose,0.0329,96.2,940322,2019-06-07 12:03:00,2019-11-14 12:13:59,160.0076273148148,737351.0,0.784147345271088,0.9604348297710784,0.03956517022892158,68.0,28,2515861,8,2019-06-07 12:03:00,2019-11-14 12:14:00,-0.4567752865401761,-1.6689241115415967
7,Logan,3,0,1,2,0,0,Hose,Neptune,1.0,0.033196,14912,1.5,Own,3050,1980,1120,84341,5.85,0.728,2.24,,7,9594,6,0.7728580363856576,0.2,1.533572850114655,14713.097924,1.24361238362414,16.8,3,241.0,104.0,Hose,0.1257,55.2,2542902,2019-07-11 09:39:31,2019-11-15 02:10:59,126.68851851851852,443637.0,0.17446091119516205,0.9591073505781976,0.04089264942180233,27.0,127,193629,12,2019-07-11 09:39:00,2019-11-15 02:11:00,-0.15718391683945176,-0.01576117594812486
8,Logan,2,0,0,0,2,0,Hose,Neptune,1.0,0.033196,13254,3.0,Own,14370,1960,1720,84341,70.2,4.65,30.5,,8,5559,6,0.5956227140115128,0.133333333,1.9852151509264258,11035.811024,1.5650963323441267,6.4,2,1789.0,160.0,Hose,0.1257,720.6,970519,2019-08-30 13:08:01,2019-10-14 11:32:59,44.93400462962963,332567.0,0.3426692316173099,0.9522131972686779,0.04778680273132211,29.0,4,56,5,2019-08-30 13:08:00,2019-10-14 11:33:00,-0.49094191002893534,-0.006856845367011361
9,Logan,2,0,0,1,0,1,SprinklerSystem,Neptune,1.0,0.033196,3058,3.0,Own,8280,1975,1860,84341,86.5,12.2,23.3,,9,137550,6,0.20530522259875683,0.066666667,0.3205939598982188,44097.699184,0.5445896987733843,9.3,2,509.0,173.0,Sprinkler system,0.1257,602.4,1400616,2019-08-20 14:10:17,2020-08-04 10:08:59,349.83243055555556,1328586.0,0.9485726280436608,0.707917087909891,0.29208291209010895,169.0,111,6155818,5,2019-08-20 14:10:00,2020-08-04 10:09:00,-0.12765003547347645,-0.007019166443187441
10,Logan,2,0,0,0,1,1,Hose,Neptune,1.0,0.033196,16806,1.0,Own,7840,1985,1100,84321,11.9,2.96,5.78,,10,12291,6,0.31126298397111707,0.066666667,0.5220989960133431,6417.11876,0.7032109719676186,6.2,2,824.0,102.0,Hose,0.1257,149.0,931325,2019-08-20 15:41:19,2020-07-02 12:43:58,316.8768402777778,193373.0,0.20763213700909994,0.9406608863715674,0.05933911362843261,24.0,30,5913230,4,2019-08-20 15:39:00,2020-07-02 12:44:00,-0.2508816234265043,-0.007266700396550125
11,Logan,4,2,0,2,0,0,SprinklerSystem,Neptune,1.0,0.033196,15304,2.0,Own,9580,1985,1460,84341,37.0,3.66,16.7,,11,20733,7,0.37769417531061594,0.066666667,1.015429662856316,21052.9032,0.9062839842790238,12.4,4,827.0,136.0,Sprinkler system,0.1257,401.3,1881112,2019-08-22 10:48:02,2020-07-02 11:47:57,315.0416087962963,634513.0,0.33730740115421093,0.9394650610915246,0.06053493890847541,24.0,9,4923788,8,2019-08-22 10:48:00,2020-07-02 11:48:00,0.050823143756395246,-0.011647069481533663
12,Logan,2,0,0,0,0,2,SprinklerSystem,Neptune,1.0,0.033196,13252,1.5,Own,14810,1900,1680,84321,12.3,2.07,7.43,,12,7611,6,0.3639118820254894,0.066666667,0.9052114350282485,6889.564232,0.8696680957663907,9.9,2,1744.0,156.0,Sprinkler system,0.1257,181.2,1491304,2019-08-30 08:23:00,2020-08-04 09:46:57,340.0582986111111,207573.0,0.139188924592169,0.9740053000595452,0.025994699940454797,35.0,112,5854010,7,2019-08-30 08:23:00,2020-08-04 09:47:00,-9.322109524612978,-6.6845075135138945
13,Logan,2,0,0,0,0,2,SprinklerSystem,Neptune,1.0,0.033196,6703,1.5,Own,9150,2010,2570,84341,97.5,4.82,65.1,,13,47524,7,0.33209606403795977,0.066666667,0.7808862359229021,37110.837476,0.5826462611167621,7.8,2,742.0,239.0,Sprinkler system,0.1257,1507.5,1171837,2019-08-30 09:13:19,2020-07-02 11:39:00,307.10116898148146,1117809.0,0.9538946116226062,0.8419498616275131,0.15805013837248696,76.0,6,5461548,6,2019-08-30 09:11:00,2020-07-02 11:39:00,-0.550090944235373,-2.2952926772415645
