SiteID,City,N_Residents,N_Residents_0-10,N_Residents_10-25,N_Residents_25-40,N_Residents_40-60,N_Residents_Over60,IrrigationType,MeterBrand,MeterSize,MeterResolution,City_SiteID,N_Bathrooms,Own/Rent,Legal_Acreage_SqFt,YearBuilt,Building_Sq._Ft,ZipCode,UserPercentile_City_LastYear,MonthlyAverageWinter,MonthlyAverageSummer,Irr_Area
2,Logan,2,0,0,0,2,0,SprinklerSystem,Neptune,1,0.033196,8910,3,Own,8280,1955,1510,84321,35.3,2.35,16.9,"6,920.86"
3,Logan,4,0,0,3,1,0,Hose,Neptune,8-May,0.008699,8304,3,Own/Rent,12200,1925,1490,84321,20.7,4.82,9.07,"15,169.85"
4,Logan,4,1,1,0,2,0,SprinklerSystem,Neptune,8-May,0.008699,12004,1,Own,11760,1930,1460,84321,75.8,8.77,26.2,"10,931.87"
5,Logan,2,0,0,0,2,0,SprinklerSystem,Neptune,1,0.033196,4712,3,Own,24390,1995,1820,84321,98.4,5.06,77.3,"33,562.54"
6,Logan,3,1,0,0,2,0,Hose,Neptune,8-May,0.008699,2614,2,Own,3920,1925,1090,84321,3.29,2.14,3.67,"3,169.04"
7,Logan,3,0,1,2,0,0,Hose,Neptune,1,0.033196,14912,1.5,Own,3050,1980,1120,84341,5.85,0.728,2.24,"2,592.36"
8,Logan,2,0,0,0,2,0,Hose,Neptune,1,0.033196,13254,3,Own,14370,1960,1720,84341,70.2,4.65,30.5,"19,264.64"
9,Logan,2,0,0,1,0,1,SprinklerSystem,Neptune,1,0.033196,3058,3,Own,8280,1975,1860,84341,86.5,12.2,23.3,"5,486.90"
10,Logan,2,0,0,0,1,1,Hose,Neptune,1,0.033196,16806,1,Own,7840,1985,1100,84321,11.9,2.96,5.78,"8,875.24"
11,Logan,4,2,0,2,0,0,SprinklerSystem,Neptune,1,0.033196,15304,2,Own,9580,1985,1460,84341,37,3.66,16.7,"8,902.50"
12,Logan,2,0,0,0,0,2,SprinklerSystem,Neptune,1,0.033196,13252,1.5,Own,14810,1900,1680,84321,12.3,2.07,7.43,"18,777.89"
13,Logan,2,0,0,0,0,2,SprinklerSystem,Neptune,1,0.033196,6703,1.5,Own,9150,2010,2570,84341,97.5,4.82,65.1,"7,995.58"
14,Logan,2,0,0,0,2,0,SprinklerSystem,Neptune,1,0.033196,9327,1.5,Own,18300,1995,3390,84321,90.5,3.12,47.6,"21,587.28"
15,Logan,6,4,0,2,0,0,SprinklerSystem,Neptune,1,0.033196,623,1.5,Rent,5230,2015,1840,84321,45.4,2.9,16.5,"4,368.62"
16,Logan,3,0,0,3,0,0,Hose,Neptune,8-May,0.008699,9090,3,Own,12630,1925,1620,84321,37.7,2.62,10.2,"12,517.20"
17,Logan,3,0,0,1,2,0,Hose,Neptune,8-May,0.008699,7636,1,Own,13070,1945,990,84321,38,3.83,14,"15,620.20"
18,Logan,1,0,0,0,1,0,Hose,Neptune,8-May,0.008699,8849,1,Own,4790,1950,800,84321,13.6,2.65,9.58,"4,415.85"
19,Providence,5,0,3,0,2,0,SprinklerSystem,MasterMeter,1,0.041619,730,3,Own,12200,2005,1380,84332,50.7,4.94,36.3,"10,571.32"
20,Providence,2,0,0,0,2,0,SprinklerSystem,MasterMeter,1,0.041619,599,3,Own,15680,2005,1900,84332,72.8,4.11,40.4,"12,949.53"
21,Providence,6,1,3,0,2,0,SprinklerSystem,MasterMeter,1,0.041619,2030,3,Own,13070,2005,1300,84332,NA,NA,NA,NA
22,Providence,7,2,3,0,2,0,SprinklerSystem,MasterMeter,1,0.041619,1864,3.5,Own,12200,2005,1700,84332,NA,NA,NA,NA
23,Providence,6,0,4,0,2,0,SprinklerSystem,MasterMeter,1,0.041619,984,4,Own,11330,2005,1550,84332,41.8,3.89,34.6,"11,933.42"
24,Providence,8,1,4,2,1,0,SprinklerSystem,MasterMeter,1,0.041619,581,3.5,Own,15680,2015,3000,84332,75.8,8.28,55.4,"13,733.56"
25,Providence,6,3,1,2,0,0,SprinklerSystem,MasterMeter,1,0.041619,1409,3.5,Own,12200,2015,3040,84332,49.1,5.5,25.6,"9,843.15"
26,Providence,6,3,1,1,1,0,SprinklerSystem,MasterMeter,8-May,0.025425,1580,1,Own,29620,1960,1260,84332,77,5.5,26.9,"38,661.38"
27,Providence,7,3,2,2,0,0,SprinklerSystem,MasterMeter,8-May,0.025425,872,3.5,Own,33540,1985,3220,84332,97.2,6.83,97.2,"41,363.31"
28,Providence,6,1,3,0,2,0,SprinklerSystem,MasterMeter,1,0.041619,1368,6,Own,25260,2005,3630,84332,93.5,8.5,74.7,"19,870.44"
29,Providence,3,0,1,0,2,0,SprinklerSystem,MasterMeter,1,0.041619,1342,3,Own,9580,2000,1430,84332,28.6,5.83,23.7,"7,545.44"
30,Providence,6,0,4,0,2,0,SprinklerSystem,MasterMeter,1,0.041619,1420,3,Own,12630,2000,1480,84332,55.1,8.83,29.2,"13,467.80"
31,Logan,3,0,1,0,1,1,SprinklerSystem,Neptune,1,0.033196,2943,3,Own,8710,1975,1660,84341,79.9,11.1,27.7,"8,904.12"
32,Logan,2,0,0,0,0,2,SprinklerSystem,Neptune,8-May,0.008699,13107,2,Own,8710,1960,1120,84341,82.1,4.34,31,"9,287.77"
