DataCollectionPeriod,StartDate,EndDate,Meter_WaterUse,CIWS-DL_WaterUse,PercentError_Vol,N_ExpectedValues,N_ActualValues,PercentError_Count,OutdoorWaterUse_Expected
1,2019-05-02 10:44:00,2019-05-06 12:09:00,544.0,536.954474,-1.2951334558823522,87675.0,87676,0.0011405759908753922,Yes
2,2019-05-07 11:29:00,2019-05-08 11:03:00,48.0,48.053276000000004,0.11099166666667475,21210.0,21211,0.004714757190004715,Yes
3,2019-05-08 11:03:00,2019-05-10 11:42:00,98.30000000004657,97.889847,-0.4172461851946782,43785.0,42936,-1.9390202124015075,Yes
4,2019-05-15 10:42:00,2019-05-16 10:46:00,67.29999999981374,67.225872,-0.11014561636544612,21660.0,21660,0.0,Yes
5,2019-05-17 09:01:00,2019-05-20 11:59:00,233.80000000004657,244.833355,4.719142429406008,67470.0,67447,-0.03408922484066993,Yes
6,2019-05-20 11:59:00,2019-05-21 10:32:00,98.29999999981374,99.681841,1.4057385556346782,20295.0,20295,0.0,Yes
7,2019-05-21 10:32:00,2019-05-22 11:49:00,47.4000000001397,47.722714,0.6808312233319703,22755.0,22755,0.0,Yes
8,2019-05-22 11:49:00,2019-05-24 10:17:00,35.699999999953434,35.944268,0.684224089767187,41820.0,41745,-0.1793400286944046,Yes
9,2019-05-24 10:17:00,2019-05-28 14:29:00,416.89999999990687,418.29141500000003,0.333752698511267,90180.0,90161,-0.021068973164781547,Yes
10,2019-05-28 14:29:00,2019-05-29 11:34:00,45.5,45.765439,0.583382417582419,18975.0,18975,0.0,Yes
11,2019-05-29 11:34:00,2019-05-30 11:46:00,93.5,93.653434,0.16410053475936287,21780.0,21780,0.0,Yes
12,2019-05-31 14:12:00,2019-06-03 14:59:00,604.5,606.642163,0.3543693961951997,65505.0,65468,-0.05648423784443936,Yes
13,2019-06-03 14:59:00,2019-06-04 09:27:00,49.39999999990687,49.619096,0.44351417022984674,16620.0,16620,0.0,Yes
14,2019-06-04 09:27:00,2019-06-05 12:57:00,84.39999999990687,84.90224,0.5950710901584035,24750.0,24750,0.0,Yes
15,2019-06-05 12:57:00,2019-06-06 10:03:00,241.70000000018626,241.606026,-0.03888043036250639,18990.0,18990,0.0,Yes
16,2019-06-06 10:03:00,2019-06-07 12:09:00,46.0,46.348272,0.757113043478264,23490.0,23490,0.0,Yes
17,2019-06-07 12:09:00,2019-06-10 14:50:00,964.2999999998137,962.466059,-0.19018365651914518,67215.0,67246,0.04612065759131146,Yes
18,2019-06-10 14:50:00,2019-06-17 15:00:00,4632.600000000093,4367.898385,-5.7138888529138585,151350.0,151351,0.0006607201850016518,Yes
19,2019-07-11 09:13:00,2019-07-17 11:09:00,7455.600000000093,7067.493851,-5.205565601696552,131340.0,131331,-0.006852444038373686,Yes
20,2020-03-17 14:56:00,2020-03-27 11:11:00,1359.0,1366.047465,0.5185772626931643,212625.0,212555,-0.03292181069958848,No
21,2020-03-27 11:11:00,2020-04-07 12:03:00,1303.2000000001863,1308.808045,0.4303288060016058,238380.0,238345,-0.014682439801996811,No
