X1,StartTime,EndTime,Duration,OriginalVolume,OriginalFlowRate,Peak_Value,Mode_Value,Label,Site
0,2019-10-15T15:38:47Z,2019-10-15T15:39:35Z,0.866666667,1.456665,1.680767308,0.083238,0.083238,toilet,24
1,2019-10-15T15:40:07Z,2019-10-15T15:40:11Z,0.133333333,0.249714,1.872855,0.083238,0.041619,faucet,24
2,2019-10-15T15:58:35Z,2019-10-15T15:59:19Z,0.8,1.623141,2.02892625,0.124857,0.124857,toilet,24
3,2019-10-15T16:50:15Z,2019-10-15T16:51:03Z,0.866666667,1.581522,1.824833077,0.124857,0.124857,toilet,24
4,2019-10-15T17:01:31Z,2019-10-15T17:01:35Z,0.133333333,0.083238,0.624285,0.041619,0.041619,faucet,24
5,2019-10-15T17:02:07Z,2019-10-15T17:03:11Z,1.133333333,1.872855,1.652519118,0.083238,0.083238,toilet,24
6,2019-10-15T17:10:51Z,2019-10-15T17:11:35Z,0.8,1.581522,1.9769025,0.166476,0.083238,toilet,24
7,2019-10-15T17:44:31Z,2019-10-15T17:45:27Z,1,1.66476,1.66476,0.124857,0.124857,toilet,24
8,2019-10-15T17:54:39Z,2019-10-15T17:54:43Z,0.133333333,0.083238,0.624285,0.041619,0.041619,faucet,24
9,2019-10-15T18:17:39Z,2019-10-15T18:18:27Z,0.866666667,1.581522,1.824833077,0.124857,0.124857,toilet,24
10,2019-10-15T18:20:03Z,2019-10-15T18:20:19Z,0.333333333,0.374571,1.123713,0.083238,0.041619,faucet,24
11,2019-10-15T18:24:11Z,2019-10-15T18:24:15Z,0.133333333,0.083238,0.624285,0.041619,0.041619,faucet,24
12,2019-10-15T18:24:47Z,2019-10-15T18:25:43Z,1,1.789617,1.789617,0.124857,0.124857,toilet,24
13,2019-10-15T18:50:23Z,2019-10-15T18:50:27Z,0.133333333,0.124857,0.9364275,0.041619,0.041619,faucet,24
14,2019-10-15T19:10:03Z,2019-10-15T19:10:51Z,0.866666667,1.66476,1.920876923,0.124857,0.124857,toilet,24
15,2019-10-15T19:23:27Z,2019-10-15T19:23:43Z,0.333333333,0.291333,0.873999,0.041619,0.041619,faucet,24
16,2019-10-15T19:24:15Z,2019-10-15T19:25:07Z,0.933333333,1.581522,1.694487857,0.124857,0.124857,toilet,24
17,2019-10-15T19:31:59Z,2019-10-15T19:33:07Z,1.2,2.372283,1.9769025,0.124857,0.124857,toilet,24
18,2019-10-15T19:58:39Z,2019-10-15T19:59:31Z,0.933333333,1.581522,1.694487857,0.124857,0.083238,toilet,24
19,2019-10-15T20:00:35Z,2019-10-15T20:01:23Z,0.866666667,1.498284,1.728789231,0.083238,0.083238,toilet,24
20,2019-10-15T20:05:15Z,2019-10-15T20:12:27Z,7.266666667,30.465108,4.192446055,0.249714,0.249714,clotheswasher,24
21,2019-10-15T20:18:23Z,2019-10-15T20:19:43Z,1.4,2.830092,2.021494286,0.124857,0.124857,toilet,24
