X1,StartTime,EndTime,Duration,OriginalVolume,OriginalFlowRate,Peak_Value,Mode_Value,Label
0,2019-11-08T11:01:47Z,2019-11-08T11:01:55Z,0.2,0.124857,0.624285,0.041619,0.041619,faucet
1,2019-11-08T11:13:51Z,2019-11-08T11:14:59Z,1.2,4.744566,3.953805,0.249714,0.249714,toilet
2,2019-11-08T11:20:11Z,2019-11-08T11:20:15Z,0.133333333,0.083238,0.624285,0.041619,0.041619,faucet
3,2019-11-08T11:39:35Z,2019-11-08T11:40:59Z,1.466666667,4.037043,2.752529318,0.166476,0.166476,toilet
4,2019-11-08T11:48:59Z,2019-11-08T12:18:55Z,30,56.144031,1.8714677,0.166476,0.124857,shower
5,2019-11-08T12:28:15Z,2019-11-08T12:29:23Z,1.2,4.744566,3.953805,0.249714,0.249714,toilet
6,2019-11-08T12:38:59Z,2019-11-08T12:39:27Z,0.533333333,0.582666,1.09249875,0.083238,0.041619,faucet
7,2019-11-08T12:46:31Z,2019-11-08T12:46:51Z,0.4,0.374571,0.9364275,0.041619,0.041619,faucet
8,2019-11-08T12:47:35Z,2019-11-08T12:47:55Z,0.4,0.624285,1.5607125,0.083238,0.083238,faucet
9,2019-11-08T12:50:39Z,2019-11-08T12:50:47Z,0.2,0.249714,1.24857,0.083238,0.041619,faucet
10,2019-11-08T12:58:11Z,2019-11-08T12:58:19Z,0.2,0.166476,0.83238,0.041619,0.041619,faucet
11,2019-11-08T13:00:55Z,2019-11-08T13:02:23Z,1.533333333,4.911042,3.202853478,0.208095,0.208095,toilet
12,2019-11-08T13:12:15Z,2019-11-08T13:12:19Z,0.133333333,0.124857,0.9364275,0.083238,0.041619,faucet
13,2019-11-08T13:13:03Z,2019-11-08T13:13:07Z,0.133333333,0.083238,0.624285,0.041619,0.041619,faucet
14,2019-11-08T13:14:03Z,2019-11-08T13:14:31Z,0.533333333,0.374571,0.702320625,0.041619,0.041619,faucet
15,2019-11-08T13:17:35Z,2019-11-08T13:17:51Z,0.333333333,0.624285,1.872855,0.083238,0.083238,faucet
16,2019-11-08T13:21:35Z,2019-11-08T13:21:55Z,0.4,0.749142,1.872855,0.083238,0.083238,faucet
17,2019-11-08T13:22:27Z,2019-11-08T13:22:51Z,0.466666667,0.873999,1.872855,0.124857,0.083238,faucet
18,2019-11-08T13:50:15Z,2019-11-08T13:50:47Z,0.6,1.040475,1.734125,0.124857,0.083238,faucet
19,2019-11-08T13:53:43Z,2019-11-08T13:53:51Z,0.2,0.291333,1.456665,0.083238,0.041619,faucet
20,2019-11-08T14:34:47Z,2019-11-08T14:34:51Z,0.133333333,0.124857,0.9364275,0.083238,0.041619,faucet
21,2019-11-08T14:39:31Z,2019-11-08T14:40:39Z,1.2,4.744566,3.953805,0.249714,0.249714,toilet
22,2019-11-08T15:32:43Z,2019-11-08T15:33:55Z,1.266666667,4.827804,3.811424211,0.249714,0.249714,toilet
23,2019-11-08T15:53:51Z,2019-11-08T15:55:19Z,1.533333333,5.035899,3.284281957,0.208095,0.208095,toilet
24,2019-11-08T16:00:03Z,2019-11-08T16:01:15Z,1.266666667,4.911042,3.877138421,0.249714,0.249714,toilet
25,2019-11-08T16:38:51Z,2019-11-08T16:40:15Z,1.466666667,4.078662,2.780905909,0.166476,0.166476,toilet
26,2019-11-08T16:47:55Z,2019-11-08T16:48:19Z,0.466666667,0.749142,1.605304286,0.083238,0.083238,faucet
27,2019-11-08T16:49:43Z,2019-11-08T16:50:51Z,1.2,4.702947,3.9191225,0.249714,0.249714,toilet
28,2019-11-08T16:51:19Z,2019-11-08T16:51:23Z,0.133333333,0.083238,0.624285,0.041619,0.041619,faucet
29,2019-11-08T17:44:27Z,2019-11-08T17:44:31Z,0.133333333,0.124857,0.9364275,0.041619,0.041619,faucet
30,2019-11-08T17:49:47Z,2019-11-08T17:49:51Z,0.133333333,0.208095,1.5607125,0.083238,0.041619,faucet
31,2019-11-08T20:19:11Z,2019-11-08T20:20:35Z,1.466666667,4.869423,3.320061136,0.208095,0.208095,toilet
32,2019-11-08T20:44:43Z,2019-11-08T20:46:15Z,1.6,4.952661,3.095413125,0.208095,0.208095,toilet
33,2019-11-08T21:42:03Z,2019-11-08T21:43:07Z,1.133333333,1.789617,1.579073824,0.124857,0.083238,toilet
34,2019-11-08T21:43:23Z,2019-11-08T21:43:27Z,0.133333333,0.124857,0.9364275,0.041619,0.041619,faucet
35,2019-11-08T21:43:35Z,2019-11-08T21:44:03Z,0.533333333,0.332952,0.624285,0.041619,0.041619,faucet
36,2019-11-08T22:39:15Z,2019-11-08T22:39:19Z,0.133333333,0.083238,0.624285,0.041619,0.041619,faucet
37,2019-11-08T22:49:47Z,2019-11-08T22:51:07Z,1.4,4.286757,3.061969286,0.208095,0.208095,toilet
38,2019-11-08T22:53:35Z,2019-11-08T22:53:39Z,0.133333333,0.083238,0.624285,0.041619,0.041619,faucet
39,2019-11-08T22:56:07Z,2019-11-08T22:56:27Z,0.4,0.499428,1.24857,0.083238,0.041619,faucet
40,2019-11-08T22:57:59Z,2019-11-08T22:59:19Z,1.4,4.037043,2.883602143,0.166476,0.166476,toilet
41,2019-11-08T23:51:39Z,2019-11-08T23:52:51Z,1.266666667,4.702947,3.712852895,0.249714,0.249714,toilet
42,2019-11-09T01:06:59Z,2019-11-09T01:13:11Z,6.266666667,16.730838,2.669814574,0.166476,0.166476,clotheswasher
43,2019-11-09T01:13:51Z,2019-11-09T01:13:55Z,0.133333333,0.083238,0.624285,0.041619,0.041619,faucet
44,2019-11-09T01:14:51Z,2019-11-09T01:14:55Z,0.133333333,0.083238,0.624285,0.041619,0.041619,faucet
45,2019-11-09T01:15:51Z,2019-11-09T01:15:55Z,0.133333333,0.083238,0.624285,0.041619,0.041619,faucet
46,2019-11-09T01:16:59Z,2019-11-09T01:17:03Z,0.133333333,0.083238,0.624285,0.041619,0.041619,faucet
47,2019-11-09T01:17:59Z,2019-11-09T01:18:03Z,0.133333333,0.083238,0.624285,0.041619,0.041619,faucet
48,2019-11-09T01:18:59Z,2019-11-09T01:19:03Z,0.133333333,0.083238,0.624285,0.041619,0.041619,faucet
49,2019-11-09T01:19:51Z,2019-11-09T01:19:55Z,0.133333333,0.083238,0.624285,0.041619,0.041619,faucet
50,2019-11-09T01:20:59Z,2019-11-09T01:21:03Z,0.133333333,0.083238,0.624285,0.041619,0.041619,faucet
51,2019-11-09T01:21:51Z,2019-11-09T01:21:55Z,0.133333333,0.083238,0.624285,0.041619,0.041619,faucet
52,2019-11-09T01:22:51Z,2019-11-09T01:22:55Z,0.133333333,0.083238,0.624285,0.041619,0.041619,faucet
53,2019-11-09T01:23:43Z,2019-11-09T01:23:47Z,0.133333333,0.083238,0.624285,0.041619,0.041619,faucet
54,2019-11-09T01:24:51Z,2019-11-09T01:24:55Z,0.133333333,0.083238,0.624285,0.041619,0.041619,faucet
55,2019-11-09T01:25:51Z,2019-11-09T01:25:55Z,0.133333333,0.083238,0.624285,0.041619,0.041619,faucet
56,2019-11-09T01:26:51Z,2019-11-09T01:26:55Z,0.133333333,0.083238,0.624285,0.041619,0.041619,faucet
57,2019-11-09T01:27:51Z,2019-11-09T01:27:55Z,0.133333333,0.083238,0.624285,0.041619,0.041619,faucet
58,2019-11-09T01:28:51Z,2019-11-09T01:28:55Z,0.133333333,0.083238,0.624285,0.041619,0.041619,faucet
59,2019-11-09T01:29:51Z,2019-11-09T01:29:55Z,0.133333333,0.083238,0.624285,0.041619,0.041619,faucet
60,2019-11-09T01:30:59Z,2019-11-09T01:31:03Z,0.133333333,0.083238,0.624285,0.041619,0.041619,faucet
61,2019-11-09T01:31:59Z,2019-11-09T01:32:03Z,0.133333333,0.083238,0.624285,0.041619,0.041619,faucet
62,2019-11-09T01:32:51Z,2019-11-09T01:32:55Z,0.133333333,0.083238,0.624285,0.041619,0.041619,faucet
63,2019-11-09T01:33:51Z,2019-11-09T01:33:55Z,0.133333333,0.083238,0.624285,0.041619,0.041619,faucet
64,2019-11-09T01:34:51Z,2019-11-09T01:34:55Z,0.133333333,0.083238,0.624285,0.041619,0.041619,faucet
65,2019-11-09T01:35:51Z,2019-11-09T01:35:55Z,0.133333333,0.083238,0.624285,0.041619,0.041619,faucet
66,2019-11-09T01:36:51Z,2019-11-09T01:36:55Z,0.133333333,0.083238,0.624285,0.041619,0.041619,faucet
67,2019-11-09T01:37:59Z,2019-11-09T01:38:03Z,0.133333333,0.083238,0.624285,0.041619,0.041619,faucet
68,2019-11-09T01:38:51Z,2019-11-09T01:38:55Z,0.133333333,0.083238,0.624285,0.041619,0.041619,faucet
69,2019-11-09T01:39:51Z,2019-11-09T01:39:55Z,0.133333333,0.083238,0.624285,0.041619,0.041619,faucet
70,2019-11-09T01:40:51Z,2019-11-09T01:40:55Z,0.133333333,0.083238,0.624285,0.041619,0.041619,faucet
71,2019-11-09T01:41:51Z,2019-11-09T01:41:55Z,0.133333333,0.083238,0.624285,0.041619,0.041619,faucet
72,2019-11-09T01:42:51Z,2019-11-09T01:42:55Z,0.133333333,0.083238,0.624285,0.041619,0.041619,faucet
73,2019-11-09T01:43:43Z,2019-11-09T01:43:47Z,0.133333333,0.083238,0.624285,0.041619,0.041619,faucet
74,2019-11-09T01:44:35Z,2019-11-09T01:44:39Z,0.133333333,0.083238,0.624285,0.041619,0.041619,faucet
75,2019-11-09T01:44:51Z,2019-11-09T01:44:55Z,0.133333333,0.083238,0.624285,0.041619,0.041619,faucet
76,2019-11-09T01:45:43Z,2019-11-09T01:45:47Z,0.133333333,0.083238,0.624285,0.041619,0.041619,faucet
77,2019-11-09T01:46:35Z,2019-11-09T01:46:39Z,0.133333333,0.083238,0.624285,0.041619,0.041619,faucet
78,2019-11-09T01:47:35Z,2019-11-09T01:47:39Z,0.133333333,0.083238,0.624285,0.041619,0.041619,faucet
